path,word,token,phrase,upload_date
content/asl_app_data/dictionary/SG ASL Automatic (Alt) 2 2023-11-12 GIF.gif,,AUTOMATIC (ALT) 2,,
content/asl_app_data/dictionary/SG ASL Automatic (Alt) 2 2023-11-12 CC.mp4,,AUTOMATIC (ALT) 2,,
content/asl_app_data/dictionary/SG ASL Andorra 1 2023-6-29 CC.gif,,ANDORRA 1,,
content/asl_app_data/dictionary/SG ASL Andorra 1 2023-6-29.mkv,,ANDORRA 1,,
content/asl_app_data/dictionary/SG ASL Assembly Line 1 2023-9-13.mkv,,ASSEMBLY LINE 1,,
content/asl_app_data/dictionary/SG ASL Assembly Line 1 2023-9-13 CC.mp4,,ASSEMBLY LINE 1,,
content/asl_app_data/dictionary/SG ASL Asset Finance (Alt) 2023-9-17.mkv,,ASSET FINANCE (ALT),,
content/asl_app_data/dictionary/SG ASL Asset Finance (Alt) 2023-9-17 CC.mp4,,ASSET FINANCE (ALT),,
content/asl_app_data/dictionary/SG ASL Arms 1 2023-8-14.mkv,,ARMS 1,,
content/asl_app_data/dictionary/SG ASL Arms 1 2023-8-14 CC.mp4,,ARMS 1,,
content/asl_app_data/dictionary/SG ASL Axe 2 2023-11-19 CC.mp4,,AXE 2,,
content/asl_app_data/dictionary/SG ASL Axe 2 2023-11-19 GIF.gif,,AXE 2,,
content/asl_app_data/dictionary/SG ASL Axe 2 2023-11-19.mkv,,AXE 2,,
content/asl_app_data/dictionary/SG ASL Antonym (Alt) 1 2023-7-14.mkv,,ANTONYM (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Antonym (Alt) 1 2023-7-14 CC.mp4,,ANTONYM (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Area (Alt) 2023-8-11.mkv,,AREA (ALT),,
content/asl_app_data/dictionary/SG ASL Area (Alt) 2023-8-11 CC.mp4,,AREA (ALT),,
content/asl_app_data/dictionary/SG ASL Automatic 1 2023-11-13.mkv,,AUTOMATIC 1,,
content/asl_app_data/dictionary/SG ASL Automatic 1 2023-11-13 GIF.gif,,AUTOMATIC 1,,
content/asl_app_data/dictionary/SG ASL Automatic 1 2023-11-13 CC.mp4,,AUTOMATIC 1,,
content/asl_app_data/dictionary/SG ASL Aww 2 2023-11-19 CC.mp4,,AWW 2,,
content/asl_app_data/dictionary/SG ASL Aww 2 2023-11-19 GIF.gif,,AWW 2,,
content/asl_app_data/dictionary/SG ASL Aww 2 2023-11-19.mkv,,AWW 2,,
content/asl_app_data/dictionary/SG ASL Alert (Vigilance) 3 2023-5-18.mkv,,ALERT (VIGILANCE) 3,,
content/asl_app_data/dictionary/SG ASL Alert (Vigilance) 3 2023-5-18 CC.gif,,ALERT (VIGILANCE) 3,,
content/asl_app_data/dictionary/SG ASL Arena 1 2023-8-12.mkv,,ARENA 1,,
